@id,name,highway,maxspeed
163553658,Jirón Miguel Grau,residential,
163553660,Jirón 2 De Octubre,residential,
163553664,Jirón Santa Teresa,residential,
163553670,Jirón Santa Lucia,residential,
163553671,Jirón 21 de Enero,residential,
163553672,,residential,
163553674,Jirón Los Precursores,residential,
163553676,Avenida Santa Rosa,residential,
163553684,Jirón 21 De Abril,residential,
163553715,Avenida Independencia,trunk,60
163553719,Avenida Independencia,trunk,60
163560667,Manuel Nuñez Butron,primary,60
163560668,,residential,
163560669,,residential,
163560670,,residential,
163560674,,residential,
163560675,,residential,
163560677,Avenida Las Gardenias,residential,
163560678,,residential,
163560679,,residential,
163560680,Jirón Palomar,residential,
163560681,Jirón José de la Riva-Agüero,residential,
163560682,,residential,
163560683,,residential,
163560684,,residential,
163560685,Jirón San Jose,residential,
163560686,,residential,
163560687,,residential,
163560688,Jirón Jhon Keneddy,residential,
163560689,,residential,
163560690,,residential,
163560691,,residential,
163560692,Jirón California,residential,
163560693,Jirón Nueva Esperanza,residential,
163560695,,residential,
163560696,Jirón Babilonia,residential,
163560699,,residential,
163560700,Jirón Demetrio H.,residential,
163560701,,residential,
163560702,,residential,
163560703,,residential,
163560704,,residential,
163560705,,residential,
163560706,Jirón Infancia,residential,
163560707,Jirón Muñani,residential,
163560708,Jirón Yanqui,residential,
163560709,,residential,
163560710,,residential,
163560711,,residential,
163560713,,residential,
163560714,Jirón Nueva Esperanza,residential,
163560715,,residential,
163560716,,residential,
163560717,Jirón Nazaret,residential,
163560718,,residential,
163560719,Jirón La Victoria,residential,
163560721,Avenida Triunfo,residential,
163560723,Jirón Babilonia,residential,
163560724,,residential,
189718085,Avenida Lampa,primary,35
192894907,Carretera Coata - Juliaca,primary,80
201532823,,residential,
201532824,Avenida Jorge Chavez,primary,60
201532825,Pasaje Ferrocarril,residential,
201532826,,residential,
201532827,,residential,
201533003,Avenida Circunvalación Este,primary,60
201542540,,residential,
201542544,Avenida Tacna,trunk,60
201542545,Avenida San Martín,tertiary,
201542547,Avenida Circunvalación Este,residential,60
233571103,Jirón Jorge Chávez,residential,
233571104,Jirón Piura,residential,30
233687096,Jirón German Humpiri,residential,
233687097,Jirón Jauregui,residential,30
233687098,Autopista Mártires del 4 de Noviembre,trunk,90
233687099,Jirón Manuel Nuñez Butron,secondary,30
233687100,Jirón El Trebol,residential,
233687101,Jorge Chavez,residential,
233687102,Jirón Loreto,residential,30
233687103,Calle Hipolito Unanue,residential,
233687104,Jirón Cerezos,tertiary,
233687105,Jirón Milagros,residential,
233687106,,residential,
233687107,,residential,
233687108,,residential,
233687109,,residential,
233687110,,residential,
233687111,,residential,
233687112,,residential,
233687113,,residential,
233687114,Jirón Los Claveles,residential,
233687115,Jirón Vista Alegre,residential,
233687116,,residential,
233687118,,residential,
233687119,,residential,
233687121,,residential,
233687122,,residential,
233687123,,residential,
233687124,Jirón Los Cipreces,residential,
233687125,Prolongación Jirón Piura,residential,
233687127,Jirón Los Girasoles,residential,
233687128,Jirón Chasqui,residential,
233687129,Jirón Collasuyo,residential,
233687130,Salvador Allende,residential,
233687131,Jirón Los Sancayos,residential,
233687132,Arica,residential,
233687133,Jirón Los Olivos,residential,
233687134,Jirón Contisuyo,residential,
233687136,Jirón Machupicchu,residential,
233687137,,residential,
233687138,Jirón Los Naranjos,tertiary,
233687139,Jirón Los Ciruelos,residential,
233687140,Jirón Selva Alegre,residential,
233687142,Jirón Antisuyo,residential,
233687143,Jirón Cristo Rey,residential,
233687144,Jirón Espinar,residential,
233687145,Calle Santiago Mamani,residential,
233687146,Pasaje Arica,residential,
233687148,Union,tertiary,30
233687149,Calle Callao,residential,
233687150,Tarapaca,residential,
233687151,Jirón Manuel Prado,residential,
233687152,Avenida Américas,secondary,
233687153,Jirón Los Rosales,residential,
233687154,Avenida Américas,secondary,
233687155,,residential,
233737041,Bracesco,primary,45
233737044,Avenida Rinconada,residential,
233737045,Avenida Keñuales,residential,
233737046,Calle Los Pinos,residential,
233737047,Pablo Neruda,residential,30
233737048,Jirón San Pablo,residential,
233737049,,residential,
233737050,,residential,
233737053,Jirón Huamanga,residential,
233737056,Jirón Ingeñiería,residential,
233737060,Jirón Colombia,residential,
233737062,Jirón Napo,residential,
233737064,Jirón Putumayo,residential,
233737065,Jirón Yavero,residential,
233737066,Jirón Primavera,residential,
233737067,Jirón Aurelio Cornejo,residential,
233737068,,residential,
233737069,,residential,
233737071,Pasaje 4 de Enero,residential,
233737072,Jirón La Habana,residential,
233737073,Jirón Managua,residential,
233737074,Jirón Chile,residential,
233737075,,residential,
233737077,,residential,
233737078,,residential,
233737079,Jirón Sama,residential,
233737080,Jirón Pedro Huilca,residential,
233737081,Jirón Guatemala,residential,
233737083,Jirón Las Artes,residential,
233737084,,residential,
233737086,Jirón Guyanas,residential,
233737087,,residential,
233737089,Jirón Santa Catalina,residential,
233737090,,residential,
233737092,Pasaje Los Ángeles,residential,
233737094,,residential,
233737095,Jirón Los Kollys,residential,
233737096,Jirón Montevideo,residential,
233737097,Jirón Caracas,residential,
233737099,,residential,
233737100,,residential,
233737102,Jirón Bogotá,residential,
233737103,,residential,
233737104,Jirón Caracas,residential,
233737105,Jirón Ilave,residential,
233737106,Jirón Haiti,residential,
233737107,Jirón Frangel,residential,
233737108,,residential,
233737109,Pasaje Belén,residential,
233737110,,residential,
233737111,Jirón Pachitea,residential,
233737112,,residential,
233737113,Jirón Supe,residential,
233737114,Jirón Brasilia,residential,
233737115,,residential,
233737116,Avenida Evitamiento,residential,
233737117,Jirón 3 de Mayo,residential,
233737120,,residential,
233737122,,residential,
233737123,Jirón Huallaga,residential,
233737124,,residential,
233737125,Jirón Guyanas,residential,
233737126,Jirón Coata,residential,
233737127,Jirón Oquideas,residential,
233737128,Jirón Ilo,residential,
233737129,,residential,
