latitude,longitude,altitude,geometry,coordinates,@id,area,highway,bridge,bridge:name,ele,layer,maxweight,ref,source,name,oneway,surface,lane_markings,maxspeed,lanes,bicycle,foot,junction,source:geometry,alt_name,service,name:en,name:qu,access,incline,fixme,covered,lit,horse,construction,footway,crossing,tracktype,motorcar,embankment
,,,LineString,"-70.1799077,-15.4641916,-70.1802445,-15.4645922,-70.1805415,-15.4649455,-70.1808334,-15.4653564,-70.1811052,-15.465739,-70.1813771,-15.4661009,-70.1816851,-15.4664913,-70.1819754,-15.4668618,-70.1822844,-15.4672668",way/683395830,,residential,,,,,,,,,,unpaved,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1655883,-15.478506,-70.1655742,-15.4785273,-70.1655714,-15.4785518,-70.1656243,-15.4793312,-70.1656891,-15.4801461,-70.1657529,-15.4809757",way/683395831,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1679271,-15.4799702,-70.1661804,-15.480116,-70.1656891,-15.4801461,-70.1651677,-15.4801977",way/683395832,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1700079,-15.4657021,-70.1700117,-15.4656689,-70.1698501,-15.4652781,-70.169836,-15.465245,-70.1698414,-15.4652101,-70.1698574,-15.4651777,-70.1699755,-15.4651015,-70.1705747,-15.4648868,-70.1707506,-15.4648249,-70.1713789,-15.4645903,-70.1721695,-15.4643415,-70.1729426,-15.4640371",way/683395833,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1692568,-15.466301,-70.1688256,-15.4653257,-70.1684696,-15.4643374",way/683395834,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1692846,-15.4651467,-70.1688256,-15.4653257,-70.1679238,-15.465662",way/683395835,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1700079,-15.4657021,-70.1699848,-15.4657271,-70.169639,-15.4660136,-70.1692568,-15.466301,-70.1688488,-15.4666334,-70.1683086,-15.4670735",way/683395836,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1161465,-15.5148757,-70.1155151,-15.5146239,-70.1148909,-15.5143647,-70.1139393,-15.5139871,-70.113275,-15.5137239",way/683397611,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.1515574,-15.4747527,-70.1517403,-15.4747522,-70.1520859,-15.4748027,-70.1521993,-15.4748165,-70.1526507,-15.4749218,-70.153154,-15.4750328,-70.1535859,-15.4751297,-70.1542468,-15.4752971,-70.1551758,-15.4755086,-70.1556273,-15.4756029,-70.155693,-15.4756183",way/692117424,,tertiary,,,,,,,,Prolongación Avenida Sacsayhuaman,yes,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.202104,-15.5343107,-70.2025689,-15.5341731,-70.2029959,-15.5340949,-70.2035145,-15.5339387,-70.2038046,-15.5338874,-70.2047341,-15.5338151,-70.2049592,-15.5337855,-70.2065006,-15.533413,-70.2079548,-15.5331554,-70.2083347,-15.5330226,-70.208638,-15.5328818,-70.2087602,-15.532732,-70.2091008,-15.5320885,-70.2095304,-15.5313495,-70.2096051,-15.531259,-70.2096862,-15.5312164,-70.209756,-15.5312061,-70.2098594,-15.5312087,-70.210509,-15.5313339,-70.2105958,-15.5312891,-70.2106549,-15.531214,-70.210809,-15.5308946,-70.2109649,-15.5307864,-70.2111397,-15.5307586,-70.2113083,-15.5308041,-70.2114477,-15.5308713,-70.2115455,-15.5309378,-70.2115634,-15.5310205,-70.2115363,-15.5311117,-70.2114707,-15.5312419,-70.2114505,-15.5313313,-70.2114557,-15.5314092,-70.2115025,-15.5314721,-70.2115879,-15.5314777,-70.211665,-15.5314166,-70.211766,-15.5313029,-70.2118944,-15.5312432,-70.2121586,-15.5312305,-70.2128712,-15.5312634,-70.2130464,-15.5312202,-70.2134272,-15.5310781,-70.213674,-15.5307907,-70.2139691,-15.5306853,-70.2144223,-15.5303493,-70.2148068,-15.5301114,-70.2152981,-15.5297737,-70.21544,-15.529646,-70.2164608,-15.5283336,-70.2168876,-15.5275119,-70.216996,-15.5273656,-70.2170996,-15.527269,-70.217303,-15.5271603,-70.2175847,-15.5270828,-70.2184933,-15.5266735,-70.2186352,-15.5266557,-70.2189243,-15.5266878,-70.2190353,-15.5266668,-70.2192144,-15.5265464,-70.2197818,-15.5260874,-70.2200764,-15.5258681,-70.2204102,-15.5255181,-70.2207926,-15.5251755,-70.221087,-15.5249617,-70.2215704,-15.5246406,-70.2216926,-15.524468,-70.2217085,-15.5243709,-70.221612,-15.5240696,-70.2214329,-15.5237618,-70.2206415,-15.5228159,-70.2206522,-15.5227862,-70.2206891,-15.5226839,-70.2231644,-15.5207181,-70.2241482,-15.5197153,-70.2248445,-15.519329",way/696238351,,unclassified,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2303177,-15.5153644,-70.2303847,-15.5154416,-70.231153,-15.5162603,-70.2313256,-15.5163082",way/696238352,,unclassified,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2265546,-15.3767143,-70.2264373,-15.3765328,-70.2262348,-15.3762211,-70.2259116,-15.3757931,-70.2257158,-15.3755578,-70.2254422,-15.3752035,-70.2252705,-15.3749228,-70.2252048,-15.3747806,-70.2252156,-15.3746914,-70.225233,-15.3746164,-70.2252196,-15.3745272,-70.2251445,-15.3744586,-70.2248293,-15.3741819,-70.2247502,-15.3740772,-70.2246335,-15.374019,-70.2245799,-15.3739711,-70.2245651,-15.3738845,-70.2245383,-15.3737306,-70.224423,-15.3736595,-70.2242553,-15.3735741,-70.2241467,-15.3735134,-70.2240542,-15.3734164,-70.224022,-15.3733181,-70.2239844,-15.3732302,-70.2238677,-15.3730582,-70.2237256,-15.3728875,-70.2235767,-15.372647,-70.223507,-15.3724892,-70.22346,-15.3723405,-70.2234641,-15.3722267,-70.2234828,-15.3721168",way/726030042,,track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.2114894,-15.3980359,-70.2114397,-15.398244,-70.2113405,-15.3985763,-70.2112694,-15.3987147,-70.2112104,-15.3987819,-70.2109382,-15.399056,-70.2108148,-15.3992073,-70.2107075,-15.3993314,-70.2106512,-15.39944,-70.2106015,-15.3995629,-70.2104393,-15.3997736,-70.2102448,-15.4000438,-70.2101254,-15.4001809,-70.2100758,-15.4003154,-70.2099659,-15.4005209,-70.2098653,-15.4006593,-70.2097982,-15.4007511,-70.209648,-15.4009761,-70.2095702,-15.4010717,-70.2094737,-15.4011196,-70.2093905,-15.4011467,-70.2093194,-15.4012295,-70.2092484,-15.4013704,-70.2091934,-15.4014609,-70.2091223,-15.401523,-70.2090727,-15.401554,-70.2090284,-15.4016096,-70.209011,-15.4016975,-70.209011,-15.4017893,-70.2090204,-15.4018979,-70.2090043,-15.4020001,-70.2089252,-15.4021294,-70.2088071,-15.4023052,-70.2086636,-15.4025095,-70.2085041,-15.402675,-70.2083874,-15.4027875,-70.2082895,-15.4028857,-70.2082439,-15.4029607,-70.2082211,-15.403068,-70.208205,-15.4032374,-70.2082104,-15.4034029,-70.2081527,-15.4035787,-70.2081151,-15.4036977,-70.2081232,-15.403783,-70.2081299,-15.4038787,-70.2081165,-15.4039382,-70.2079783,-15.404105,-70.2079086,-15.40418,-70.2078908,-15.4043036",way/726030044,,track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LineString,"-70.214597,-15.3924285,-70.2145484,-15.3923674,-70.2144773,-15.3923312,-70.2144036,-15.3922666,-70.2143124,-15.3922097,-70.2141823,-15.3922356,-70.2140817,-15.3922705,-70.2139905,-15.3922679,-70.2138685,-15.3921981,-70.2138175,-15.3921076,-70.2137545,-15.3918748,-70.2136834,-15.3916188,-70.2136391,-15.3915503,-70.2136324,-15.3914662,-70.2136123,-15.3913899,-70.2135319,-15.3912024,-70.2134299,-15.3909645",way/726030045,,track,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
