id,nombre,latitud,longitud,riesgo,tipo
9163, #3008,-15.4627692,-70.1497162,35,interseccion
9164, ∩ Jr. Antony Perkins,-15.4628351,-70.1502193,35,interseccion
9165,Calle Runa ∩ Av. Nicolas Otto,-15.4593086,-70.1535783,35,interseccion
9166, ∩ Jr. Antony Perkins,-15.4616887,-70.1503875,35,interseccion
9167, ∩ Jr. Los Valvis,-15.4615694,-70.1495803,35,interseccion
9168,Av. Nicolas Otto ∩ Jr. 23 de Septiembre,-15.4589887,-70.1490562,35,interseccion
9169, ∩ Jr. Antony Perkins,-15.4612281,-70.1504624,35,interseccion
9170, ∩ Jr. Antony Perkins,-15.4607737,-70.150549,35,interseccion
9171,Jr. Antony Perkins ∩ Jr. Masey Ferguson,-15.4602874,-70.1506063,35,interseccion
9172,Jr. Antony Perkins ∩ Av. Nicolas Otto,-15.4588641,-70.1508054,35,interseccion
9173,Calle Quilla ∩ Av. Nicolas Otto,-15.4590559,-70.1521423,35,interseccion
9174,Calle Colque ∩ Av. Nicolas Otto,-15.4594475,-70.1545277,35,interseccion
9175,Av. Nicolas Otto #34,-15.458724,-70.1497335,35,interseccion
9176,Av. Nicolas Otto #35,-15.4587016,-70.1495801,35,interseccion
9177,Av. Nicolas Otto #36,-15.458721,-70.1494457,35,interseccion
9178,Av. Nicolas Otto #37,-15.4589136,-70.1492321,35,interseccion
9179,Av. Nicolas Otto #38,-15.4589726,-70.1491269,35,interseccion
9180,Av. Nicolas Otto #39,-15.4589782,-70.1489406,35,interseccion
9181,Jr. Toyota ∩ Av. Nicolas Otto,-15.4585344,-70.146085,35,interseccion
9182,Av. Nicolas Otto #41,-15.4584288,-70.1459362,35,interseccion
9183,Av. Nicolas Otto #42,-15.4583769,-70.1458899,35,interseccion
9184, ∩ Av. Nestor Caceres Velasquez,-15.4580282,-70.145684,35,interseccion
9185,Av. Nicolas Otto ∩ Jr. 13 de Junio,-15.459486,-70.1549199,35,interseccion
9186,Jr. 13 de Junio #3,-15.4594989,-70.1549484,35,interseccion
9187,Jr. 13 de Junio #4,-15.4595215,-70.1549685,35,interseccion
9188,Jr. 13 de Junio #5,-15.4595577,-70.1549846,35,interseccion
